id,root_id,customer_message,full_thread,is_dm_redirect,historical_resolution,ground_truth_intent,ground_truth_escalate,escalation_reason_category,reference_reply,labeler_notes
11,2286923,"Getting frustrated with @115858 my phone screen just decided to stop working. Did a reset and now only 300 of my 6,000 photos are showing up....but why?","C: Getting frustrated with @115858 my phone screen just decided to stop working. Did a reset and now only 300 of my 6,000 photos are showing up....but why? || A: @664474 Photos help tell the story of our lives. We have a team of experts who will be the best source of help. Please reach out to them here: https://t.co/IBIY3vMgPj",False,@664474 Photos help tell the story of our lives. We have a team of experts who will be the best source of help. Please reach out to them here: https://t.co/IBIY3vMgPj,,,,,
12,2977727,@AppleSupport I got an email saying my Apple Id was disabled and the link is not working to reactivate it?,C: @AppleSupport I got an email saying my Apple Id was disabled and the link is not working to reactivate it? || A: @821244 There's a good chance that message you received could be a phishing attempt. Could you join us in DM and tell us who the sender of the message was? Thanks. https://t.co/GDrqU22YpT,True,@821244 There's a good chance that message you received could be a phishing attempt. Could you join us in DM and tell us who the sender of the message was? Thanks. https://t.co/GDrqU22YpT,,,,,
13,2133426,has anyone else notice this little corny ass “I️” ... Apple is bullshitting give us back the regular I️ on the keyboard and take this bullshit back @115858  THANKS IN ADVANCE https://t.co/0M9pBZWoVc,C: has anyone else notice this little corny ass “I️” ... Apple is bullshitting give us back the regular I️ on the keyboard and take this bullshit back @115858  THANKS IN ADVANCE https://t.co/0M9pBZWoVc || A: @627724 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,False,@627724 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,,
14,1061468,"@AppleSupport hi, I'd forgotten my password, did the recover, got message saying reset next day at 7pm. Day passed no reset info?!??","C: @AppleSupport hi, I'd forgotten my password, did the recover, got message saying reset next day at 7pm. Day passed no reset info?!?? || A: @286166 You'll find more info concerning account recovery here: https://t.co/nXAGZj0EE7",False,@286166 You'll find more info concerning account recovery here: https://t.co/nXAGZj0EE7,,,,,
15,2361678,@AppleSupport I bought a game on the Mac App Store that isn’t compatible with my machine in spite of verifying the requirements before purchasing. Can I be refunded for this un-playable game that I bought under false pretences?,C: @AppleSupport I bought a game on the Mac App Store that isn’t compatible with my machine in spite of verifying the requirements before purchasing. Can I be refunded for this un-playable game that I bought under false pretences? || A: @681945 We'd love to help with this and recommend that you reach out to our iTunes Store team directly about a refund. Click here to get started: https://t.co/SDIe7UiyJN,False,@681945 We'd love to help with this and recommend that you reach out to our iTunes Store team directly about a refund. Click here to get started: https://t.co/SDIe7UiyJN,,,,,
16,188597,@AppleSupport my ‘Two factor authentication’ isn’t calling the number I have registered to my Apple ID with the code. Why is this?,C: @AppleSupport my ‘Two factor authentication’ isn’t calling the number I have registered to my Apple ID with the code. Why is this? || A: @160265 Thanks for reaching us. Try the steps in this article to receive your verification code: https://t.co/gZlEJEsNrU,False,@160265 Thanks for reaching us. Try the steps in this article to receive your verification code: https://t.co/gZlEJEsNrU,,,,,
17,1502981,@AppleSupport hello. I’m having trouble changing my iTunes Store location. Please help. https://t.co/ZIYKCREYI9,"C: @AppleSupport hello. I’m having trouble changing my iTunes Store location. Please help. https://t.co/ZIYKCREYI9 || A: @468836 We'd love to help and recommend reaching out to our iTunes Store team directly: https://t.co/SDIe7UiyJN || C: @AppleSupport Just tried that as well. https://t.co/WuVFyToukD || A: @468836 Do you have access to a computer? If so, go ahead and try there to get started. || C: @AppleSupport Okay. || A: @468836 Thank you. If you continue to experience any issues, please meet us in DM. https://t.co/GDrqU22YpT",True,"@468836 Thank you. If you continue to experience any issues, please meet us in DM. https://t.co/GDrqU22YpT",,,,,
18,2133589,@AppleSupport can you get your best nerds and fix this letter glitch? It’s really ruining my week,C: @AppleSupport can you get your best nerds and fix this letter glitch? It’s really ruining my week || A: @627767 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 || C: @AppleSupport Nah how bout you just update the software already,False,@627767 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,,
19,546657,@115858 worth £750 billion and still can't sort a fucking phone !! #wheresmysamsung #fuckapple,C: @115858 worth £750 billion and still can't sort a fucking phone !! #wheresmysamsung #fuckapple || A: @247122 We might have a fix for what you're seeing. Did you update to iOS 11.2 yet? We just released it. You can see a guide for how to help with this here: https://t.co/osZOKKTalm,False,@247122 We might have a fix for what you're seeing. Did you update to iOS 11.2 yet? We just released it. You can see a guide for how to help with this here: https://t.co/osZOKKTalm,,,,,
20,2479064,"@AppleSupport hi am having problems with battery in iPhone 5s. Battery charge percentage changes a lot, says I have 18% then 60% when plugin","C: @AppleSupport hi am having problems with battery in iPhone 5s. Battery charge percentage changes a lot, says I have 18% then 60% when plugin || A: @270229 Let's help take a look. How long has this been happening? Which version of iOS are you running in Settings &gt; General &gt; About? || C: @AppleSupport Just started happening over the last couple of days/ week but I’ve just updated to iOS 11 an hour ago, could that help or is it a battery problem? || A: @270229 Updating the version of iOS is a great step that helps isolate further. Let's give some time to test with the new software version. If the issue persist, reach back out and we'll take a further look.",False,"@270229 Updating the version of iOS is a great step that helps isolate further. Let's give some time to test with the new software version. If the issue persist, reach back out and we'll take a further look.",,,,,
21,2422462,@115858 how do I block a email address with iCloud? I understand adding a new rule but I want the sender to get an error email back to them like they emailed the wrong account. How do I do that? Like block and not just go to my trash?  I don’t want to see it.,"C: @115858 how do I block a email address with iCloud? I understand adding a new rule but I want the sender to get an error email back to them like they emailed the wrong account. How do I do that? Like block and not just go to my trash?  I don’t want to see it. || A: @543431 Thanks for reaching out! We can understand not wanting to see the emails at all. Although there isn’t a way to block a sender specifically, we’d recommend setting up the rule so they do not show up in your inbox still.",False,"@543431 Thanks for reaching out! We can understand not wanting to see the emails at all. Although there isn’t a way to block a sender specifically, we’d recommend setting up the rule so they do not show up in your inbox still.",,,,,
22,31455,"Hi @AppleSupport after upgrading to iOS 11.1 this control center dunno where to stay - up, middle and down.  Now in the upper section. ios11 https://t.co/pK9efWapng","C: Hi @AppleSupport after upgrading to iOS 11.1 this control center dunno where to stay - up, middle and down.  Now in the upper section. ios11 https://t.co/pK9efWapng || A: @122938 Hey, we'd love to help with your AssistiveTouch. Let's try a standard restart, here's how: https://t.co/OWRDHWSt4h || C: @AppleSupport  https://t.co/6eW6USYdGS",False,"@122938 Hey, we'd love to help with your AssistiveTouch. Let's try a standard restart, here's how: https://t.co/OWRDHWSt4h",,,,,
23,958213,@AppleSupport how do I reset my Apple ID password?,C: @AppleSupport how do I reset my Apple ID password? || A: @347358 We'd love to help. Take a look at the steps here: https://t.co/pSqXVktNl7,False,@347358 We'd love to help. Take a look at the steps here: https://t.co/pSqXVktNl7,,,,,
24,910587,i pay too damn much money a month for apple radio to suck as much as it does so fix this shit @115858,C: i pay too damn much money a month for apple radio to suck as much as it does so fix this shit @115858 || A: @336279 What issues are you having with Apple Radio? Let us know in DM. We'd like to help. https://t.co/GDrqU22YpT,True,@336279 What issues are you having with Apple Radio? Let us know in DM. We'd like to help. https://t.co/GDrqU22YpT,,,,,
25,2480175,@AppleSupport how can I get the night shift on/off service in my control center in the new update?!? I have to go into setting every time 🤔🙄,C: @AppleSupport how can I get the night shift on/off service in my control center in the new update?!? I have to go into setting every time 🤔🙄 || A: @708756 Night Shift settings are controlled by tapping Settings &gt; Display &amp; Brightness. Provide feedback at https://t.co/ODFtc9V7Tq || C: @AppleSupport I know. But how can I get easy access to it - like get it in the new control center?? || A: @708756 Great question. You can find the details to help you actviate Night Shift via Control Center here: https://t.co/NBE76DOiEM || C: @AppleSupport THANK YOU,False,@708756 Great question. You can find the details to help you actviate Night Shift via Control Center here: https://t.co/NBE76DOiEM,,,,,
26,2703179,@AppleSupport App Store doesn’t work since iOS 11 update. Can’t download app unless I have WiFi. Argh. #Frustrated,C: @AppleSupport App Store doesn’t work since iOS 11 update. Can’t download app unless I have WiFi. Argh. #Frustrated || A: @759270 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,False,@759270 We're happy to assist. Which iOS 11 version are you currently running? Go to Settings &gt; General &gt; About for the version.,,,,,
27,1682634,"Hey @AppleSupport fully charged iPhone 7 with new iOS11.1. Took some photos, opened FB and down to 64% already. What gives?!","C: Hey @AppleSupport fully charged iPhone 7 with new iOS11.1. Took some photos, opened FB and down to 64% already. What gives?! || A: @251547 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT",True,@251547 We're here to help. Let's take this to DM so we can better assist you. https://t.co/GDrqU22YpT,,,,,
28,2429218,"so i update my phone so get rid of the stupid ""I"" glitch but now everything else seems to not be working... @115858 get it together plz.","C: so i update my phone so get rid of the stupid ""I"" glitch but now everything else seems to not be working... @115858 get it together plz. || A: @483612 That's certainly unexpected, but we can help out. Tell us a little more about what seems to be going on with your iPhone now. Also, to confirm, are you running iOS 11.1.1 and let us know which iPhone model you have.",False,"@483612 That's certainly unexpected, but we can help out. Tell us a little more about what seems to be going on with your iPhone now. Also, to confirm, are you running iOS 11.1.1 and let us know which iPhone model you have.",,,,,
29,1288263,So I update my phone to the new iOS and I can’t get into my Apple Music @AppleSupport I need some help man 🤦🏻‍♂️,C: So I update my phone to the new iOS and I can’t get into my Apple Music @AppleSupport I need some help man 🤦🏻‍♂️ || A: @232756 We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L,False,@232756 We’re investigating and will update our System Status page as more info becomes available: https://t.co/Fcu0biZf0L,,,,,
30,2634978,@115858 why can’t I share my location? My services are on and it’s telling me it can’t connect to server. It’s been telling me that for days,C: @115858 why can’t I share my location? My services are on and it’s telling me it can’t connect to server. It’s been telling me that for days || A: @699780 Thanks for reaching out to us about the location services on your device. We can certainly help. Which device is this happening on &amp; what version of OS is running? Check out this link that has some steps for sharing your location: https://t.co/D6iva00o7v,False,@699780 Thanks for reaching out to us about the location services on your device. We can certainly help. Which device is this happening on &amp; what version of OS is running? Check out this link that has some steps for sharing your location: https://t.co/D6iva00o7v,,,,,
31,2304252,@AppleSupport I forgot my Apple ID,"C: @AppleSupport I forgot my Apple ID || A: @668584 If you forgot the email address you use as your Apple ID, here's some steps you can try to find it: https://t.co/buxNpfhIIM || C: @AppleSupport Nah it's my password || A: @668584 OK if you've found your Apple ID but don't know the password, you can reset that here: https://t.co/blQI4wX8qY",False,"@668584 OK if you've found your Apple ID but don't know the password, you can reset that here: https://t.co/blQI4wX8qY",,,,,
32,726705,"3 days after I update my phone it starts shutting off on its own &amp; the touch screen freezes. 

@115858 you’re not clever.   🖕🏼","C: 3 days after I update my phone it starts shutting off on its own &amp; the touch screen freezes. 

@115858 you’re not clever.   🖕🏼 || A: @294073  A reliable iPhone is paramount, and we want to help. Which version of iOS 11 do you have installed? We are now at 11.0.2.",False,"@294073  A reliable iPhone is paramount, and we want to help. Which version of iOS 11 do you have installed? We are now at 11.0.2.",,,,,
33,1772607,.@AppleSupport why is my phone capitalizing the first letter of random words?,"C: .@AppleSupport why is my phone capitalizing the first letter of random words? || A: @532767 We'll be happy to look into this. DM us and we'll get started. https://t.co/GDrqU22YpT || C: @AppleSupport nty many people have been having this issue pls just fix it ty || A: @532767 Meet up with us in DM and we'll go from there, please. https://t.co/GDrqU22YpT",True,"@532767 Meet up with us in DM and we'll go from there, please. https://t.co/GDrqU22YpT",,,,,
34,385683,@AppleSupport why on the iPad Pro does VoiceOver not give you the instructions on how to multi screen? It did on the iPad air too!,C: @AppleSupport why on the iPad Pro does VoiceOver not give you the instructions on how to multi screen? It did on the iPad air too! || A: @207300 We know how critical it is that Accessibility have the right features. Check out https://t.co/2ibqaYRLpt for all the new info.,False,@207300 We know how critical it is that Accessibility have the right features. Check out https://t.co/2ibqaYRLpt for all the new info.,,,,,
35,2304325,"@applesupport Can't access itunes, cloud and app store with new ios update. Now I have to put the phone down and talk to people. help!","C: @applesupport Can't access itunes, cloud and app store with new ios update. Now I have to put the phone down and talk to people. help! || A: @668604 We would like to help with this. Are you getting any kind of error message? Does it happen on Wi-Fi and cellular data?",False,@668604 We would like to help with this. Are you getting any kind of error message? Does it happen on Wi-Fi and cellular data?,,,,,
36,963721,@115858 please fix FaceTime.,C: @115858 please fix FaceTime. || A: @348734 We're here to help. Tell us what issue you're having with your FaceTime app. Which iPhone and iOS version are you using? || C: @AppleSupport Thank you for your response. I answered all questions via dm.,False,@348734 We're here to help. Tell us what issue you're having with your FaceTime app. Which iPhone and iOS version are you using?,,,,,
37,2229404,Dear @115858 it’s still buggy the Appstore in #iOS11.1.1 🐞🐛 https://t.co/NmJXWtebH8,C: Dear @115858 it’s still buggy the Appstore in #iOS11.1.1 🐞🐛 https://t.co/NmJXWtebH8 || A: @650600 Let's dive into this issue together. When did you first notice this? Reply via DM and we'll go from there. https://t.co/GDrqU22YpT,True,@650600 Let's dive into this issue together. When did you first notice this? Reply via DM and we'll go from there. https://t.co/GDrqU22YpT,,,,,
38,1406601,@AppleSupport very very disappointed with the help and service regarding a damaged / faulty phone.... Help,"C: @AppleSupport very very disappointed with the help and service regarding a damaged / faulty phone.... Help || A: @446943 Let us know of your experience in DM, please. https://t.co/GDrqU22YpT",True,"@446943 Let us know of your experience in DM, please. https://t.co/GDrqU22YpT",,,,,
39,1117156,Feels like ios 11 kryptonited the battery on my 6. Forced obsolescence ? @AppleSupport,C: Feels like ios 11 kryptonited the battery on my 6. Forced obsolescence ? @AppleSupport || A: @383600 We'd be happy to look into this with you. Send us a DM to get started. https://t.co/GDrqU22YpT,True,@383600 We'd be happy to look into this with you. Send us a DM to get started. https://t.co/GDrqU22YpT,,,,,
40,1133206,@AppleSupport why don't apps ever auto update?  My settings are correct. They haven't auto updated ever. Really annoying. Please help.,"C: @AppleSupport why don't apps ever auto update?  My settings are correct. They haven't auto updated ever. Really annoying. Please help. || A: @387018 We know how essential it can be to keep your apps up to date. Let's work together. Can you confirm which iOS you're using? || C: @AppleSupport Fully updated ios11. || A: @387018 Let's go to Settings &gt; iTunes &amp; App Stores and disable Automatic updates. Then, restart your device and enable it again. || C: @AppleSupport I did and when I restarted phone it was already in the update mode even though I turned it off and then reset my phone. Why can't apple fix?",False,"@387018 Let's go to Settings &gt; iTunes &amp; App Stores and disable Automatic updates. Then, restart your device and enable it again.",,,,,
41,1963361,@115858 ur screen recording function failed me &gt;:(,C: @115858 ur screen recording function failed me &gt;:( || A: @582137 Let's look into this screen recording issue for you. Send us a DM with your device type and iOS version to get started. https://t.co/GDrqU22YpT,True,@582137 Let's look into this screen recording issue for you. Send us a DM with your device type and iOS version to get started. https://t.co/GDrqU22YpT,,,,,
42,2152122,Why haven’t y’all fixed the stupid issue with “I️” &amp; “I️t” yet? @115858,"C: Why haven’t y’all fixed the stupid issue with “I️” &amp; “I️t” yet? @115858 || A: @632409 We recently released iOS 11.1.2, so let’s go ahead and upgrade to that latest version, then let us know how things go from there. Be sure to create a backup.  This article will guide you: https://t.co/80YRnjDFDk",False,"@632409 We recently released iOS 11.1.2, so let’s go ahead and upgrade to that latest version, then let us know how things go from there. Be sure to create a backup.  This article will guide you: https://t.co/80YRnjDFDk",,,,,
43,938214,"@AppleSupport I have an IPhone SE since updating to 11 (and all subsequent updates, so now on 11.0.3 I have had no sound from phone.","C: @AppleSupport I have an IPhone SE since updating to 11 (and all subsequent updates, so now on 11.0.3 I have had no sound from phone. || A: @342406 Is the issue with notification sounds, video or music playback or any sound on your device? Let us know, we'd like to help.",False,"@342406 Is the issue with notification sounds, video or music playback or any sound on your device? Let us know, we'd like to help.",,,,,
44,243342,@AppleSupport wtf did updating do to texting?!?!? #nothappy 😤,"C: @AppleSupport wtf did updating do to texting?!?!? #nothappy 😤 || A: @173792 Are you experiencing issues with sending and receiving text messages? Let us know more details so we can help. || C: @AppleSupport Actually 11.2 (?) updated this morning and I think it’s fixed! || C: @AppleSupport I was unable to toggle between texts. Couldn’t get out. But it seems ok now. || A: @173792 Perfect. Reach back out if this issue, or anything else comes up that you need our help with.",False,"@173792 Perfect. Reach back out if this issue, or anything else comes up that you need our help with.",,,,,
45,570180,"@AppleSupport I am keep sending DM to you. Unfortunately my issues didn’t get resolved.
Can you please expedite &amp; solve my issue which I am facing almost for more than 12 hours.","C: @AppleSupport I am keep sending DM to you. Unfortunately my issues didn’t get resolved.
Can you please expedite &amp; solve my issue which I am facing almost for more than 12 hours. || A: @253841 Have you had a chance to update to 11.2? This article has steps to remedy the issue you're facing: https://t.co/osZOKKTalm
If you still need help, please send us a DM here: https://t.co/GDrqU22YpT || C: @AppleSupport Its over! 
Thank you so much for your great support. || A: @253841 You are most welcome. If there is anything we can do to assist you in the future, please don't hesitate to reach back out.",False,"@253841 You are most welcome. If there is anything we can do to assist you in the future, please don't hesitate to reach back out.",,,,,
46,1066776,@115858 iOS 11 performance has been a complete dumpster fire lately,"C: @115858 iOS 11 performance has been a complete dumpster fire lately || A: @371747 We can work towards a resolution together. Tell us about the issues you’re noticing, and the version of iOS 11 your device is on.",False,"@371747 We can work towards a resolution together. Tell us about the issues you’re noticing, and the version of iOS 11 your device is on.",,,,,
47,552070,"@AppleSupport with the microphone on whiled screen recording with the latest update, my recordings have no sound....","C: @AppleSupport with the microphone on whiled screen recording with the latest update, my recordings have no sound.... || A: @248691 Let's check that out for you. Can you tell which iOS version you're running? We ask because we released an update earlier today. Also, are there any issues with the microphone in other apps?",False,"@248691 Let's check that out for you. Can you tell which iOS version you're running? We ask because we released an update earlier today. Also, are there any issues with the microphone in other apps?",,,,,
48,486202,@AppleSupport hi stupid question... i have an Apple Music subscription f I download the songs for offline listening do I just pay £9.99 per month and not have to pay to eg. £0.99 for individual songs?,"C: @AppleSupport hi stupid question... i have an Apple Music subscription f I download the songs for offline listening do I just pay £9.99 per month and not have to pay to eg. £0.99 for individual songs? || A: @230673 With Apple Music you will only pay the monthly subscription fee.  All music that is available to Apple Music subscribers can be downloaded for offline use.

Here's a great article with more information: https://t.co/dZgsEePiEK",False,"@230673 With Apple Music you will only pay the monthly subscription fee.  All music that is available to Apple Music subscribers can be downloaded for offline use.

Here's a great article with more information: https://t.co/dZgsEePiEK",,,,,
49,1261352,"@AppleSupport hi, I’m a subscriber on Apple Music but it says I’m not a member and I’ve tried to reactivate it for 4 times now but wont work","C: @AppleSupport hi, I’m a subscriber on Apple Music but it says I’m not a member and I’ve tried to reactivate it for 4 times now but wont work || A: @415487 We’re investigating and will update our System Status page as more info becomes available: https://t.co/7NVrDovSd8",False,@415487 We’re investigating and will update our System Status page as more info becomes available: https://t.co/7NVrDovSd8,,,,,
50,810395,@AppleSupport when we can expect apple pay in India please let us know #applepay,"C: @AppleSupport when we can expect apple pay in India please let us know #applepay || A: @313087 Hi there, we encourage for you to stay updated on the availability of Apple Pay on our website here: https://t.co/EwMocuR7xW",False,"@313087 Hi there, we encourage for you to stay updated on the availability of Apple Pay on our website here: https://t.co/EwMocuR7xW",,,,,
51,2919998,@AppleSupport WHY DID MY CONTACTS JUST RANDOMLY DELETE OUT OF MY IPHONE? AND HOW DO I FIX IT?????????,C: @AppleSupport WHY DID MY CONTACTS JUST RANDOMLY DELETE OUT OF MY IPHONE? AND HOW DO I FIX IT????????? || A: @808173 We'll be happy to take a look into this with you. Could you please send us a DM with what iOS version you're running so we can get started? https://t.co/GDrqU22YpT,True,@808173 We'll be happy to take a look into this with you. Could you please send us a DM with what iOS version you're running so we can get started? https://t.co/GDrqU22YpT,,,,,
52,2110975,@AppleSupport   I have the iPhone X.  The OLED screen is awful. Just the slightest slant results in significant blue tint. Can it be fixed?,C: @AppleSupport   I have the iPhone X.  The OLED screen is awful. Just the slightest slant results in significant blue tint. Can it be fixed? || A: @326640 We are here to help. DM us your iOS version and we can take a look at this. https://t.co/GDrqU22YpT,True,@326640 We are here to help. DM us your iOS version and we can take a look at this. https://t.co/GDrqU22YpT,,,,,
53,2280912,@AppleSupport iOS 11.0.3 on iPhone 7plus. Battery life is HORRIBLE. Much worse than on iOS 10.x. Fix this!,C: @AppleSupport iOS 11.0.3 on iPhone 7plus. Battery life is HORRIBLE. Much worse than on iOS 10.x. Fix this! || A: @663032 Let us help you get this sorted out. DM us so we can better assist you: https://t.co/GDrqU22YpT || C: @AppleSupport 1/2 : I appreciate you reaching out. Since I am using my phone the same way I did when running 10.x but getting worse battery life,True,@663032 Let us help you get this sorted out. DM us so we can better assist you: https://t.co/GDrqU22YpT,,,,,
54,331717,@AppleSupport Since the last update my earpods remote only plays and pauses for Apple Music even when it’s closed. I only really use Spotify,C: @AppleSupport Since the last update my earpods remote only plays and pauses for Apple Music even when it’s closed. I only really use Spotify || A: @194992 We'd be happy to help. We want you to be able to enjoy your AirPods. Can you provide us which device you're using with them? || C: @AppleSupport My phone crashed (iPhone 7 plus) so I had to restart it. It seems to have corrected the fault. I’ll let you know if it happens again thanks. || A: @194992 We're happy to hear a restart was able to resolve the issue. Feel free to reach out to us if you have any questions.,False,@194992 We're happy to hear a restart was able to resolve the issue. Feel free to reach out to us if you have any questions.,,,,,
55,2404858,Took my phone off charge two hours ago and battery has dropped 55%... that’s RIDICULOUS. @115858 need to sort this shit out,"C: Took my phone off charge two hours ago and battery has dropped 55%... that’s RIDICULOUS. @115858 need to sort this shit out || A: @691718 We know how important battery life is, and we'd be happy to look into this with you. Can you tell us which version of software you're currently using and when this issue began?",False,"@691718 We know how important battery life is, and we'd be happy to look into this with you. Can you tell us which version of software you're currently using and when this issue began?",,,,,
56,595781,".@115858 or @AppleSupport Please make iTunes recognize my iPhone 8+ on my Windows 10 PC. The ""restore"" didn't transfer all my music from my old phone, and now I can't fix that, because you won't fix iTunes. Please, FIX IT.","C: .@115858 or @AppleSupport Please make iTunes recognize my iPhone 8+ on my Windows 10 PC. The ""restore"" didn't transfer all my music from my old phone, and now I can't fix that, because you won't fix iTunes. Please, FIX IT. || A: @261177 Let’s get you back to your day’s soundtrack. First, did you initially restore your iPhone 8 Plus through iTunes or through iCloud? Also, which iTunes version do you have installed on your PC?",False,"@261177 Let’s get you back to your day’s soundtrack. First, did you initially restore your iPhone 8 Plus through iTunes or through iCloud? Also, which iTunes version do you have installed on your PC?",,,,,
57,1704660,PLZ FIX THE GLITCH @115858 I️ CANT LIVE LIKE THIS,C: PLZ FIX THE GLITCH @115858 I️ CANT LIVE LIKE THIS || A: @516698 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9 || C: @AppleSupport Thanks fam,False,@516698 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,,,,,
58,2377153,"Yo, @115858 the I glitch is embarrassing. I didn’t pay $1200 so my android friends could troll me. #FixIt #i #iphone #iphonex #apple #Iglitch","C: Yo, @115858 the I glitch is embarrassing. I didn’t pay $1200 so my android friends could troll me. #FixIt #i #iphone #iphonex #apple #Iglitch || A: @685609 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",False,"@685609 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",,,,,
